Module,Week,Task Name,Description,Status,Priority,Category,Assignee,Estimated Hours,Dependencies,Start Date,Due Date,Deliverable
Module 3,Week 3,Create Processed Dataset Versions,Export cleaned datasets: full cleaned dataset training/validation/test splits (70/15/15) whole foods subset for Autoencoder. Document data splits.,Not Started,High,Data,Swapnil,4,T017,Week 3 Day 6,Week 3 Day 7,
Module 4,Week 4,Literature Review - XGBoost,Research XGBoost algorithm: gradient boosting theory XGBoost advantages for tabular data hyperparameter tuning strategies. Document findings.,Not Started,High,Research,Jamshed,6,T013,Week 4 Day 1,Week 4 Day 3,
Module 4,Week 4,Literature Review - Autoencoders,Research Autoencoder architectures: encoder-decoder structure anomaly detection applications loss functions for nutritional data. Document findings.,Not Started,High,Research,Jamshed,6,T013,Week 4 Day 1,Week 4 Day 3,
Module 4,Week 4,Literature Review - Food Processing & Health,Research ultra-processed foods and health outcomes. Review existing NOVA classification methodologies. Identify gaps in current nutritional apps.,Not Started,Medium,Research,Jamshed,5,T006,Week 4 Day 2,Week 4 Day 4,
Module 4,Week 4,Baseline Model Implementation,Implement simple baseline models: Logistic Regression Decision Tree for NOVA classification. Establish baseline performance metrics.,Not Started,High,Modeling,Swapnil,7,T024,Week 4 Day 1,Week 4 Day 4,
Module 4,Week 4,XGBoost Initial Implementation,Implement XGBoost classifier with default hyperparameters. Create training pipeline with proper data preprocessing and cross-validation.,Not Started,High,Modeling,Swapnil,8,T028,Week 4 Day 3,Week 4 Day 5,
Module 4,Week 4,Autoencoder Initial Architecture,Design and implement initial Autoencoder architecture: define encoder/decoder layers activation functions loss function. Train on whole foods subset.,Not Started,High,Modeling,Jamshed,10,T026;T024,Week 4 Day 2,Week 4 Day 6,
Module 4,Week 4,Feature Selection Analysis,Perform feature importance analysis using XGBoost feature importance. Identify top predictive features. Test model with reduced feature sets.,Not Started,Medium,Modeling,Swapnil,5,T029,Week 4 Day 4,Week 4 Day 6,
Module 4,Week 4,Background Section Draft,Write background section covering: NOVA classification system XGBoost methodology Autoencoder theory ultra-processed foods and health existing solutions.,Not Started,High,Documentation,Jamshed,8,T025;T026;T027,Week 4 Day 5,Week 4 Day 7,Week 4 Deliverable
Module 4,Week 4,Model Evaluation Framework Setup,Set up comprehensive evaluation framework: classification metrics (accuracy precision recall F1) confusion matrices cross-validation strategy. Create reusable code.,Not Started,High,Modeling,Team,5,T029,Week 4 Day 4,Week 4 Day 7,
Module 5,Week 5,XGBoost Hyperparameter Tuning,Perform hyperparameter optimization: max_depth learning_rate n_estimators subsample colsample_bytree. Use GridSearchCV or RandomizedSearchCV.,Not Started,High,Modeling,Swapnil,10,T029;T033,Week 5 Day 1,Week 5 Day 4,
Module 5,Week 5,Handle Class Imbalance,Address class imbalance if present: SMOTE oversampling class_weight adjustment undersampling majority class. Compare strategies.,Not Started,High,Modeling,Swapnil,6,T034,Week 5 Day 2,Week 5 Day 4,
Module 5,Week 5,XGBoost Model Optimization,Fine-tune XGBoost based on validation performance. Implement early stopping. Optimize for production (model size inference speed).,Not Started,High,Modeling,Swapnil,8,T034;T035,Week 5 Day 3,Week 5 Day 5,
Module 5,Week 5,Autoencoder Architecture Optimization,Experiment with Autoencoder architectures: layer depths bottleneck size dropout regularization batch normalization. Track reconstruction errors.,Not Started,High,Modeling,Jamshed,10,T030,Week 5 Day 1,Week 5 Day 5,
Module 5,Week 5,Anomaly Detection Threshold Tuning,Determine optimal reconstruction error threshold for anomaly detection. Analyze distribution of reconstruction errors for different NOVA groups.,Not Started,High,Modeling,Jamshed,7,T037,Week 5 Day 4,Week 5 Day 6,
Module 5,Week 5,Model Ensemble Exploration,Explore ensemble methods: combining multiple XGBoost models stacking with other classifiers weighted voting. Compare performance.,Not Started,Medium,Modeling,Team,6,T036,Week 5 Day 4,Week 5 Day 6,
Module 5,Week 5,Model Serialization & Saving,Implement model saving/loading: serialize XGBoost model save Autoencoder weights create model versioning system. Document model artifacts.,Not Started,High,Modeling,Swapnil,4,T036;T037,Week 5 Day 5,Week 5 Day 6,
Module 5,Week 5,Methods Section Draft,Write methods section covering: data preprocessing feature engineering XGBoost implementation and tuning Autoencoder architecture training procedures evaluation metrics.,Not Started,High,Documentation,Team,10,T036;T037;T033,Week 5 Day 4,Week 5 Day 7,Week 5 Deliverable
Module 5,Week 5,Frontend - Model Integration Planning,Plan backend-frontend integration: API endpoint design request/response formats error handling model inference pipeline.,Not Started,Medium,Development,Swapnil,4,T040,Week 5 Day 5,Week 5 Day 7,
Module 6,Week 6,Model Performance Analysis,Comprehensive analysis of final models: per-class performance error analysis feature importance visualization comparative analysis with baselines.,Not Started,High,Modeling,Team,8,T036;T037,Week 6 Day 1,Week 6 Day 3,
Module 6,Week 6,Statistical Significance Testing,Perform statistical tests: compare model performances test generalization on holdout set validate cross-validation results. Document findings.,Not Started,Medium,Modeling,Jamshed,5,T043,Week 6 Day 2,Week 6 Day 4,
Module 6,Week 6,Explainability Analysis - SHAP Values,Generate SHAP values for XGBoost model. Create SHAP visualizations (summary plots dependence plots). Document feature contributions.,Not Started,Medium,Modeling,Jamshed,6,T043,Week 6 Day 2,Week 6 Day 4,
Module 6,Week 6,Backend API Development,Develop Flask/FastAPI backend: endpoint for nutritional data input XGBoost prediction endpoint Autoencoder anomaly detection endpoint. Include error handling.,Not Started,High,Development,Swapnil,10,T040;T042,Week 6 Day 1,Week 6 Day 5,
Module 6,Week 6,Frontend - Dashboard Component,Enhance Dashboard component: display NOVA classification show reconstruction error/anomaly score visualize nutritional profile personalization inputs.,Not Started,High,Development,Swapnil,8,T046,Week 6 Day 3,Week 6 Day 6,
Module 6,Week 6,Frontend - Results Visualization,Create visualization components: NOVA group indicator nutritional breakdown chart additive flagging personalized recommendations display.,Not Started,High,Development,Swapnil,8,T047,Week 6 Day 4,Week 6 Day 6,
Module 6,Week 6,User Profile & Personalization Logic,Implement user profile system: dietary restrictions (halal vegan gluten-free) health conditions micronutrient goals. Create rule-based recommendation engine.,Not Started,Medium,Development,Jamshed,7,T048,Week 6 Day 4,Week 6 Day 6,
Module 6,Week 6,Integration Testing,Test full pipeline: frontend input → API call → model prediction → response display. Test edge cases error handling.,Not Started,High,Testing,Team,6,T048;T049,Week 6 Day 5,Week 6 Day 7,
Module 6,Week 6,Results Section Draft (Part 1),Write initial results section: model performance metrics confusion matrices comparative analysis with baselines. Include tables and figures.,Not Started,High,Documentation,Team,8,T043;T044,Week 6 Day 4,Week 6 Day 7,Week 6 Deliverable
Module 6,Week 6,Create Result Visualizations,Generate publication-quality figures: confusion matrices ROC curves precision-recall curves learning curves feature importance plots SHAP visualizations.,Not Started,High,Documentation,Team,7,T043;T045,Week 6 Day 4,Week 6 Day 7,
Module 7,Week 7,Results Section Completion,Complete results section: qualitative analysis limitations discussion real-world application examples system performance metrics.,Not Started,High,Documentation,Team,6,T051,Week 7 Day 1,Week 7 Day 2,
Module 7,Week 7,Discussion Section,Write discussion section: interpretation of results comparison with existing solutions implications for nutrition tracking limitations and constraints.,Not Started,High,Documentation,Jamshed,7,T053,Week 7 Day 1,Week 7 Day 3,
Module 7,Week 7,Future Work Section,Document future work: OCR integration for label scanning real-time data drift monitoring recipe reformulation tracking deployment to mobile platform.,Not Started,Medium,Documentation,Jamshed,4,T054,Week 7 Day 2,Week 7 Day 3,
Module 7,Week 7,Conclusion Section,Write conclusion summarizing: project achievements model performance practical applications contribution to nutritional AI field.,Not Started,High,Documentation,Team,4,T053;T054,Week 7 Day 2,Week 7 Day 3,
Module 7,Week 7,Abstract Writing,Write abstract (1-2 paragraphs): problem introduction (1-2 sentences) methods description (3-4 sentences) results summary (1-2 sentences).,Not Started,High,Documentation,Team,3,T056,Week 7 Day 3,Week 7 Day 4,
Module 7,Week 7,References & Citation Formatting,Compile all references. Format citations properly (APA/IEEE). Verify all in-text citations match reference list.,Not Started,Medium,Documentation,Swapnil,4,T056,Week 7 Day 2,Week 7 Day 4,
Module 7,Week 7,Report Formatting & Proofreading,Format report to template requirements. Proofread entire document. Check page limits (15 pages for team of 2). Insert figures/tables.,Not Started,High,Documentation,Team,6,T057;T058,Week 7 Day 3,Week 7 Day 5,
Module 7,Week 7,Code Repository Cleanup,Clean GitHub repository: remove scratch code add comprehensive comments update README with usage instructions document all code files.,Not Started,High,Development,Swapnil,6,T050,Week 7 Day 1,Week 7 Day 4,
Module 7,Week 7,Repository Documentation,Create comprehensive repository documentation: README with project overview setup instructions usage examples requirements.txt update docstrings for all functions.,Not Started,High,Documentation,Swapnil,5,T060,Week 7 Day 2,Week 7 Day 5,
Module 7,Week 7,Generate Notebook PDFs,Export all Jupyter notebooks to PDF: data cleaning notebook EDA notebook model training notebooks analysis notebooks.,Not Started,Medium,Documentation,Team,2,T060,Week 7 Day 4,Week 7 Day 5,
Module 7,Week 7,Presentation Slide Deck Creation,Create PowerPoint presentation (minimum 5 visualizations for team of 2): title slide problem statement data & methods results & evaluation demo/application conclusion.,Not Started,High,Presentation,Team,8,T052,Week 7 Day 1,Week 7 Day 4,
Module 7,Week 7,Presentation Script Writing,Write presentation script ensuring: each member speaks 2+ minutes technical depth appropriate for CTO/VP audience time limit 5-10 minutes smooth transitions.,Not Started,High,Presentation,Team,5,T063,Week 7 Day 3,Week 7 Day 5,
Module 7,Week 7,Presentation Rehearsal,Rehearse presentation multiple times: time presentation (5-10 min target) refine transitions practice demo ensure equal speaking time.,Not Started,High,Presentation,Team,4,T064,Week 7 Day 4,Week 7 Day 6,
Module 7,Week 7,Presentation Recording,Record final presentation video: high quality audio/video each member speaks 2+ minutes demonstrate system upload to YouTube/Vimeo.,Not Started,High,Presentation,Team,3,T065,Week 7 Day 5,Week 7 Day 6,Final Deliverable
Module 7,Week 7,Final Report Submission,Submit final report PDF (15 pages max for team of 2). Verify all sections complete formatting correct all deliverables included.,Not Started,High,Documentation,Team,2,T059,Week 7 Day 6,Week 7 Day 7,Final Deliverable
Module 7,Week 7,GitHub Repository Final Submission,Submit final GitHub repository: verify public access or instructor collaboration share repository URL verify all code present documentation complete.,Not Started,High,Development,Swapnil,2,T061;T062,Week 7 Day 6,Week 7 Day 7,Final Deliverable
Module 7,Week 7,Presentation Video Submission,Submit presentation video URL (YouTube/Vimeo). Verify video accessibility length within limits (5-10 min) audio/video quality.,Not Started,High,Presentation,Team,1,T066,Week 7 Day 6,Week 7 Day 7,Final Deliverable
Module 7,Week 7,Team Peer Evaluation,Complete peer evaluation form individually. Provide constructive feedback for teammate. Submit confidential evaluation.,Not Started,Medium,Administrative,Team,1,T069,Week 7 Day 7,Week 7 Day 7,Final Deliverable
Module 7,Week 7,Final System Testing,Conduct comprehensive end-to-end testing: test all user workflows verify model predictions accuracy test error handling cross-browser compatibility (if web app).,Not Started,High,Testing,Team,5,T050,Week 7 Day 3,Week 7 Day 6,
Module 7,Week 7,Demo Video Creation ,Create supplementary demo video showing: system walkthrough example predictions user interaction personalization features. Upload separately from presentation.,Not Started,Low,Presentation,Team,4,T071,Week 7 Day 4,Week 7 Day 6,
